factor,level,name,value
Crop,Corn,CO2_flux_ug_g_d_mean,11.6577782079509
Crop,Corn,CO2_flux_ug_g_d_sd,4.61772398289327
Crop,Corn,cum_CO2_flux_ug_g_mean,2394.92845167729
Crop,Corn,cum_CO2_flux_ug_g_sd,886.297059372207
Crop,Miscanthus,CO2_flux_ug_g_d_mean,15.2539147679931
Crop,Miscanthus,CO2_flux_ug_g_d_sd,6.30262017686858
Crop,Miscanthus,cum_CO2_flux_ug_g_mean,2850.34313387223
Crop,Miscanthus,cum_CO2_flux_ug_g_sd,1251.86512889663
Crop,Corn,N2ON_flux_ug_g_d_mean,0.02202412725
Crop,Corn,N2ON_flux_ug_g_d_sd,0.05361529227344
Crop,Corn,cum_N2O_flux_ug_g_mean,2.83826648616667
Crop,Corn,cum_N2O_flux_ug_g_sd,6.79540324554203
Crop,Miscanthus,N2ON_flux_ug_g_d_mean,0.0436727813888889
Crop,Miscanthus,N2ON_flux_ug_g_d_sd,0.10908268194203
Crop,Miscanthus,cum_N2O_flux_ug_g_mean,10.1817245419444
Crop,Miscanthus,cum_N2O_flux_ug_g_sd,20.4143620113337
Crop,Corn,net_min_rate_rel_mean,-0.71015894301103
Crop,Corn,net_min_rate_rel_sd,1.69374458872504
Crop,Corn,net_min_rate_abs_mean,5.51378330712998
Crop,Corn,net_min_rate_abs_sd,2.11893494292069
Crop,Corn,net_nitr_rate_rel_mean,-0.768601149237108
Crop,Corn,net_nitr_rate_rel_sd,1.7260289879684
Crop,Corn,net_nitr_rate_abs_mean,5.57791874540504
Crop,Corn,net_nitr_rate_abs_sd,2.06903911102169
Crop,Corn,no3n_mg_kg_1_mean,198.486824501754
Crop,Corn,no3n_mg_kg_1_sd,61.0496855901718
Crop,Corn,nh4n_mg_kg_1_mean,4.52657301522513
Crop,Corn,nh4n_mg_kg_1_sd,4.02488270223352
Crop,Miscanthus,net_min_rate_rel_mean,0.633413952656255
Crop,Miscanthus,net_min_rate_rel_sd,2.57609121732319
Crop,Miscanthus,net_min_rate_abs_mean,4.55079226697711
Crop,Miscanthus,net_min_rate_abs_sd,3.9913962548506
Crop,Miscanthus,net_nitr_rate_rel_mean,0.601650484593712
Crop,Miscanthus,net_nitr_rate_rel_sd,2.60299142768871
Crop,Miscanthus,net_nitr_rate_abs_mean,4.73251056835317
Crop,Miscanthus,net_nitr_rate_abs_sd,4.07391959282535
Crop,Miscanthus,no3n_mg_kg_1_mean,188.492881966957
Crop,Miscanthus,no3n_mg_kg_1_sd,129.476005284391
Crop,Miscanthus,nh4n_mg_kg_1_mean,2.98307939246049
Crop,Miscanthus,nh4n_mg_kg_1_sd,2.79719155932969
Addition,Carbon,CO2_flux_ug_g_d_mean,14.4678694543333
Addition,Carbon,CO2_flux_ug_g_d_sd,5.78209267122418
Addition,Carbon,cum_CO2_flux_ug_g_mean,2857.93728345536
Addition,Carbon,cum_CO2_flux_ug_g_sd,1090.71554609413
Addition,Control,CO2_flux_ug_g_d_mean,13.2045014778509
Addition,Control,CO2_flux_ug_g_d_sd,5.73440532543329
Addition,Control,cum_CO2_flux_ug_g_mean,2588.9338491135
Addition,Control,cum_CO2_flux_ug_g_sd,1086.98708404759
Addition,Nitrogen,CO2_flux_ug_g_d_mean,12.6951685317318
Addition,Nitrogen,CO2_flux_ug_g_d_sd,5.91296115874119
Addition,Nitrogen,cum_CO2_flux_ug_g_mean,2421.03624575542
Addition,Nitrogen,cum_CO2_flux_ug_g_sd,1126.90886632003
Addition,Carbon,N2ON_flux_ug_g_d_mean,0.01956501325
Addition,Carbon,N2ON_flux_ug_g_d_sd,0.062171043680932
Addition,Carbon,cum_N2O_flux_ug_g_mean,4.196286797875
Addition,Carbon,cum_N2O_flux_ug_g_sd,14.1002105472357
Addition,Control,N2ON_flux_ug_g_d_mean,0.0473985410833333
Addition,Control,N2ON_flux_ug_g_d_sd,0.107866155686984
Addition,Control,cum_N2O_flux_ug_g_mean,7.68519417920833
Addition,Control,cum_N2O_flux_ug_g_sd,15.6281844724378
Addition,Nitrogen,N2ON_flux_ug_g_d_mean,0.031581808625
Addition,Nitrogen,N2ON_flux_ug_g_d_sd,0.083314714775795
Addition,Nitrogen,cum_N2O_flux_ug_g_mean,7.64850556508333
Addition,Nitrogen,cum_N2O_flux_ug_g_sd,17.1818667516293
Addition,Carbon,net_min_rate_rel_mean,-0.290835435861554
Addition,Carbon,net_min_rate_rel_sd,1.51266970817211
Addition,Carbon,net_min_rate_abs_mean,4.33902009209131
Addition,Carbon,net_min_rate_abs_sd,2.8408922776708
Addition,Carbon,net_nitr_rate_rel_mean,-0.323097024150231
Addition,Carbon,net_nitr_rate_rel_sd,1.5449921001999
Addition,Carbon,net_nitr_rate_abs_mean,4.44652324999778
Addition,Carbon,net_nitr_rate_abs_sd,2.89891043649884
Addition,Carbon,no3n_mg_kg_1_mean,165.58679887627
Addition,Carbon,no3n_mg_kg_1_sd,89.5769431504128
Addition,Carbon,nh4n_mg_kg_1_mean,3.49002036853326
Addition,Carbon,nh4n_mg_kg_1_sd,2.36915035089109
Addition,Control,net_min_rate_rel_mean,-0.256349397381493
Addition,Control,net_min_rate_rel_sd,1.37558281029225
Addition,Control,net_min_rate_abs_mean,4.95943547443527
Addition,Control,net_min_rate_abs_sd,2.8697681466569
Addition,Control,net_nitr_rate_rel_mean,-0.31404973412586
Addition,Control,net_nitr_rate_rel_sd,1.42345211653042
Addition,Control,net_nitr_rate_abs_mean,5.04985855621903
