"","factor","level","name","value"
"1","Crop","Corn","CO2_flux_ug_g_d_mean",11.6577782079509
"2","Crop","Corn","CO2_flux_ug_g_d_sd",4.61772398289327
"3","Crop","Corn","cum_CO2_flux_ug_g_mean",2394.92845167729
"4","Crop","Corn","cum_CO2_flux_ug_g_sd",886.297059372207
"5","Crop","Miscanthus","CO2_flux_ug_g_d_mean",15.2539147679931
"6","Crop","Miscanthus","CO2_flux_ug_g_d_sd",6.30262017686858
"7","Crop","Miscanthus","cum_CO2_flux_ug_g_mean",2850.34313387223
"8","Crop","Miscanthus","cum_CO2_flux_ug_g_sd",1251.86512889663
"9","Crop","Corn","N2ON_flux_ug_g_d_mean",0.02202412725
"10","Crop","Corn","N2ON_flux_ug_g_d_sd",0.05361529227344
"11","Crop","Corn","cum_N2O_flux_ug_g_mean",2.83826648616667
"12","Crop","Corn","cum_N2O_flux_ug_g_sd",6.79540324554203
"13","Crop","Miscanthus","N2ON_flux_ug_g_d_mean",0.0436727813888889
"14","Crop","Miscanthus","N2ON_flux_ug_g_d_sd",0.10908268194203
"15","Crop","Miscanthus","cum_N2O_flux_ug_g_mean",10.1817245419444
"16","Crop","Miscanthus","cum_N2O_flux_ug_g_sd",20.4143620113337
"17","Crop","Corn","net_min_rate_rel_mean",-0.71015894301103
"18","Crop","Corn","net_min_rate_rel_sd",1.69374458872504
"19","Crop","Corn","net_min_rate_abs_mean",5.51378330712998
"20","Crop","Corn","net_min_rate_abs_sd",2.11893494292069
"21","Crop","Corn","net_nitr_rate_rel_mean",-0.768601149237108
"22","Crop","Corn","net_nitr_rate_rel_sd",1.7260289879684
"23","Crop","Corn","net_nitr_rate_abs_mean",5.57791874540504
"24","Crop","Corn","net_nitr_rate_abs_sd",2.06903911102169
"25","Crop","Corn","no3n_mg_kg_1_mean",198.486824501754
"26","Crop","Corn","no3n_mg_kg_1_sd",61.0496855901718
"27","Crop","Corn","nh4n_mg_kg_1_mean",4.52657301522513
"28","Crop","Corn","nh4n_mg_kg_1_sd",4.02488270223352
"29","Crop","Miscanthus","net_min_rate_rel_mean",0.633413952656255
"30","Crop","Miscanthus","net_min_rate_rel_sd",2.57609121732319
"31","Crop","Miscanthus","net_min_rate_abs_mean",4.55079226697711
"32","Crop","Miscanthus","net_min_rate_abs_sd",3.9913962548506
"33","Crop","Miscanthus","net_nitr_rate_rel_mean",0.601650484593712
"34","Crop","Miscanthus","net_nitr_rate_rel_sd",2.60299142768871
"35","Crop","Miscanthus","net_nitr_rate_abs_mean",4.73251056835317
"36","Crop","Miscanthus","net_nitr_rate_abs_sd",4.07391959282535
"37","Crop","Miscanthus","no3n_mg_kg_1_mean",188.492881966957
"38","Crop","Miscanthus","no3n_mg_kg_1_sd",129.476005284391
"39","Crop","Miscanthus","nh4n_mg_kg_1_mean",2.98307939246049
"40","Crop","Miscanthus","nh4n_mg_kg_1_sd",2.79719155932969
"41","Addition","Carbon","CO2_flux_ug_g_d_mean",14.4678694543333
"42","Addition","Carbon","CO2_flux_ug_g_d_sd",5.78209267122418
"43","Addition","Carbon","cum_CO2_flux_ug_g_mean",2857.93728345536
"44","Addition","Carbon","cum_CO2_flux_ug_g_sd",1090.71554609413
"45","Addition","Control","CO2_flux_ug_g_d_mean",13.2045014778509
"46","Addition","Control","CO2_flux_ug_g_d_sd",5.73440532543329
"47","Addition","Control","cum_CO2_flux_ug_g_mean",2588.9338491135
"48","Addition","Control","cum_CO2_flux_ug_g_sd",1086.98708404759
